timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,isFailure,total
1526375130177820,29,-24,-19,-5,18,19,17,18,false,134.625
1526375130177820,-4,-17,-75,-113,-104,11,-4,-16,false,87.75
1526375130192829,-19,18,13,11,52,-9,-7,-6,false,134.625
1526375130192829,18,5,43,59,-15,2,15,8,false,144.875
1526375130198836,4,10,10,4,-21,-3,0,6,false,129.25
1526375130198836,6,-7,-12,-5,10,-22,-13,-3,false,122.25
1526375130213851,-51,-20,-32,-26,-31,-17,0,-9,false,104.75
1526375130213851,61,15,-15,-22,10,10,5,28,false,139.5
1526375130221853,12,-9,14,21,15,-11,-5,-22,false,129.875
1526375130221853,-57,-10,-12,-1,0,-7,-23,-30,false,110.5
1526375130237859,89,-10,12,14,0,2,7,29,false,145.875
1526375130237859,-66,-3,-1,4,19,9,31,-7,false,126.25
1526375130237859,6,-9,2,0,-17,2,-9,2,false,125.125
1526375130237859,13,-4,-19,-11,-10,4,5,17,false,127.375
1526375130252873,-29,19,0,-9,17,8,1,-4,false,128.375
1526375130252873,-8,3,19,-38,0,2,-3,2,false,125.125
1526375130258874,-6,-1,13,83,-9,-12,-4,-6,false,135.25
1526375130258874,-10,5,32,7,4,0,-14,-12,false,129.5
1526375130273885,0,-3,-6,7,9,-5,-8,-1,false,127.125
1526375130273885,13,-10,-25,-33,-3,3,26,0,false,124.375
1526375130281896,-4,-3,-25,-45,-8,-11,-28,-4,false,112
1526375130281896,20,-1,16,33,5,-17,9,11,false,137.5
1526375130297899,-7,-1,10,19,-9,3,0,-10,false,128.625
1526375130297899,-9,-3,-19,5,13,6,-9,-3,false,125.625
1526375130297899,-2,-6,-12,-28,-5,-6,24,8,false,124.625
1526375130297899,10,-1,-7,13,11,20,-4,2,false,133.5
1526375130312913,0,11,20,-21,-8,-2,-15,13,false,127.75
1526375130312913,9,3,-3,14,7,17,19,7,false,137.125
1526375130326921,-17,-3,3,-7,-10,-15,-3,-21,false,118.875
1526375130326921,4,-8,-13,-3,-2,-7,-42,-7,false,118.25
1526375130333974,-20,-8,-15,5,-1,-30,5,-5,false,119.375
1526375130333974,24,7,-3,5,4,9,-6,8,false,134
1526375130341979,7,11,31,11,0,15,13,9,false,140.125
1526375130341979,3,-5,-14,-19,-3,-1,14,3,false,125.25
1526375130356985,-13,-5,3,11,5,6,6,-3,false,129.25
1526375130356985,-5,-1,-22,-34,2,11,1,6,false,122.75
1526375130357986,5,-4,-7,0,3,-10,-16,-6,false,123.625
1526375130357986,2,17,49,62,2,-4,4,-6,false,143.75
1526375130372995,3,2,3,-11,7,6,2,0,false,129.5
